"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Primary_false_promise_Note0"	"Доп. инфа:<br><br>The amount of damage calculated before reductions such as Bristleback, which means you may survive even if the cumulative damage is greater than your health. <br>Healing settlement is unaffected by gain"
"DOTA_Tooltip_ability_Primary_false_promise_duration"	"Длительность:"




"DOTA_Tooltip_ability_Middle_false_promise"	"Middle False Promise"
"DOTA_Tooltip_ability_Middle_false_promise_Description"	"Temporarily alters an ally's destiny, delaying any healing or damage taken until False Promise ends. Any healing that is delayed by False Promise is increased to 1.5 times. Removes most negative status effects and disables on initial cast.<br><br>[Coordination of Fate] Healing effect increased to 2.5 times. <br>"
"DOTA_Tooltip_ability_Middle_false_promise_Lore"	"Enemies and false prophets often fabricate the fate of others."
"DOTA_Tooltip_ability_Middle_false_promise_Note0"	"Доп. инфа:<br><br>The amount of damage calculated before reductions such as Bristleback, which means you may survive even if the cumulative damage is greater than your health. <br>Healing settlement is unaffected by gain"
"DOTA_Tooltip_ability_Middle_false_promise_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_false_promise"	"Advanced False Promise"
"DOTA_Tooltip_ability_Advanced_false_promise_Description"	"Temporarily alters an ally's destiny, delaying any healing or damage taken until False Promise ends. Any healing that is delayed by False Promise is increased to 1.5 times. Removes most negative status effects and disables on initial cast.<br><br>[Coordination of Fate] Healing effect increased to 2.5 times. <br><br>[Shield of Fate] When the damage is greater than the healing, damage will be reduced by 5%% per second. "
"DOTA_Tooltip_ability_Advanced_false_promise_Lore"	"The power of the divine envoy can prevent fate from returning to its original track, provided that the other party is less powerful. "
"DOTA_Tooltip_ability_Advanced_false_promise_Note0"	"Доп. инфа:<br>The amount of damage calculated before reductions such as Bristleback, which means you may survive even if the cumulative damage is greater than your health. <br>Healing settlement is unaffected by gain"
"DOTA_Tooltip_ability_Advanced_false_promise_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_dragon_blood"	"Primary Dragon Blood"
"DOTA_Tooltip_ability_Primary_dragon_blood_Description"	"The life blood of the Dragon improves health regeneration and strengthens armor. "
"DOTA_Tooltip_ability_Primary_dragon_blood_Lore"	"The blood of the dragonborn is not a spell, but hidden in the blood of every hero, as long as time is ripe, the dragon blood will awaken. <br>.. However, no one knows why humnan have a trace of dragon blood."
"DOTA_Tooltip_ability_Primary_dragon_blood_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_dragon_blood_bonus_health_regeneration"	"Bonus Health Regen:"
"DOTA_Tooltip_ability_Primary_dragon_blood_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Middle_dragon_blood"	"Middle Dragon Blood"
"DOTA_Tooltip_ability_Middle_dragon_blood_Description"	"The life blood of the Dragon improves health regeneration and strengthens armor. <br><br>[Dragon Skin] can offset the magic damage equal to power*1. (Can be disabled by shield nullification) "
"DOTA_Tooltip_ability_Middle_dragon_blood_Lore"	"One day, the first Awakener appeared, who grew dragon scales skin and whose arms began to change towards the appearance of dragon claws.."
"DOTA_Tooltip_ability_Middle_dragon_blood_bonus_health_regeneration"	"Bonus Health Regen:"
"DOTA_Tooltip_ability_Middle_dragon_blood_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Advanced_dragon_blood"	"Advanced Dragon Blood"
"DOTA_Tooltip_ability_Advanced_dragon_blood_Description"	"The life blood of the Dragon improves health regeneration and strengthens armor. <br><br>[Dragon Skin] can offset the magic damage equal to power*1. (Can be disabled by shield nullification) <br><br>[Dragon Transformation] When health is lower than 50%, enter dragon transformation status, with strong dispel applied, will be immune to magic, and gain an additional 100%% passive bonus, lasting for 10 seconds<br><br>Fixed Cooldown: 45 seconds"
"DOTA_Tooltip_ability_Advanced_dragon_blood_Lore"	"The first dragon man was awakened thousands of years ago, and until now he still lives in a corner in the world. Every awakened human can sense his existence, but no one can find his location. "
"DOTA_Tooltip_ability_Advanced_dragon_blood_bonus_health_regeneration"	"Bonus Health Regen:"
"DOTA_Tooltip_ability_Advanced_dragon_blood_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Primary_kraken_shell"	"Primary Kraken Shell"
"DOTA_Tooltip_ability_Primary_kraken_shell_Description"	"Thickens your hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold. "
"DOTA_Tooltip_ability_Primary_kraken_shell_Lore"	"Converting a part of the body into other biological structures is a common trick of Druids, but if they maintain this state for a long time, are they humans or creatures?"
"DOTA_Tooltip_ability_Primary_kraken_shell_Note0"	"Доп. инфа:<br><font color=\"#d9534f\"> Can only block up to 95%% of damage. </font> "
"DOTA_Tooltip_ability_Primary_kraken_shell_bonus_health_regeneration"	"Bonus Health Regen:"
"DOTA_Tooltip_ability_Primary_kraken_shell_bonus_armor"	"Bonus Armor:"
"DOTA_Tooltip_ability_Primary_kraken_shell_purge_damage"	"Damage Threshold: Max Health * "
"DOTA_Tooltip_ability_Primary_kraken_shell_bonus_block"	"Strength Index:"
"DOTA_Tooltip_ability_Primary_kraken_shell_damage_block"	"Damage Block:"
"DOTA_Tooltip_ability_Middle_kraken_shell"	"Middle Kraken Shell"
"DOTA_Tooltip_ability_Middle_kraken_shell_Description"	"Thickens your hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold. <br><br> [Strong Block] While applying strong dispel, doubles block for 4 seconds."
"DOTA_Tooltip_ability_Middle_kraken_shell_Lore"	"only a small number of Lone Druid who can be animalized fully, and everyone who can is at least an Orichalcum level. "
"DOTA_Tooltip_ability_Middle_kraken_shell_Note0"	"Доп. инфа:<br><font color=\"#d9534f\"> Can only block up to 95%% of damage.  "
"DOTA_Tooltip_ability_Middle_kraken_shell_damage_block"	"Damage Block:"
"DOTA_Tooltip_ability_Middle_kraken_shell_bonus_block"	"Strength Index:"
"DOTA_Tooltip_ability_Middle_kraken_shell_purge_damage"	"Damage Threshold: Max Health * "
"DOTA_Tooltip_ability_Advanced_kraken_shell"	"Advanced Kraken Shell"
"DOTA_Tooltip_ability_Advanced_kraken_shell_Description"	"Thickens your hide to passively block a portion of any incoming physical attack damage. The hide also removes negative status effects if the damage taken crosses a threshold. <br><br> [Strong Block] While applying strong dispel, doubles block for 4 seconds.（<br><br>[Domain Block] Allies in a 1500 radius gain half of their own blocking ability, and 30%% of the damage blocked will be converted into their own accumulated damage. "
"DOTA_Tooltip_ability_Advanced_kraken_shell_Lore"	"The animalized hide makes him, or rather, makes it look like an island."
"DOTA_Tooltip_ability_Advanced_kraken_shell_Note0"	"Доп. инфа:<br><font color=\"#d9534f\"> Can only block up to 95%% of damage.  "
"DOTA_Tooltip_ability_Advanced_kraken_shell_damage_block"	"Damage Block:"
"DOTA_Tooltip_ability_Advanced_kraken_shell_bonus_block"	"Strength Index:"
"DOTA_Tooltip_ability_Advanced_kraken_shell_purge_damage"	"Damage Threshold: Max Health * "
"DOTA_Tooltip_ability_Primary_reactive_armor"	"Primary Reactive Armor"
"DOTA_Tooltip_ability_Primary_reactive_armor_Description"	"Each time Timbersaw is under physical attack, he gains increased health regeneration and armor."
"DOTA_Tooltip_ability_Primary_reactive_armor_Lore"	"Enchanting armor to activate so as to strengthen your defense. At this time, weak attacks are not only useless, but will strengthen your defense. "
"DOTA_Tooltip_ability_Primary_reactive_armor_damage_block"	"Damage Block:"
"DOTA_Tooltip_ability_Primary_reactive_armor_bonus_block"	"Strength Index:"
"DOTA_Tooltip_ability_Primary_reactive_armor_purge_damage"	"Damage Threshold: Max Health * "
"DOTA_Tooltip_ability_Primary_reactive_armor_max_stack"	"Max Stacks:"
"DOTA_Tooltip_ability_Primary_reactive_armor_bonus_armor"	"Bonus Armor per Stack:"
"DOTA_Tooltip_ability_Primary_reactive_armor_bonus_health_regeneration"	"Bonus Health Regen per Stack:"
"DOTA_Tooltip_ability_Primary_reactive_armor_duration"	"Duration per Stack:"
"DOTA_Tooltip_ability_Middle_reactive_armor"	"Middle Reactive Armor"
"DOTA_Tooltip_ability_Middle_reactive_armor_Description"	"Each time Timbersaw is under physical attack, he gains increased health regeneration and armor.<br><br> [Damage Adaptation] Every time you take physical damage and if you take another physical damage within 10 seconds, recover 0.5%% of the damage taken (stacking up to 30%%, duration calculated independently), and 2%% of magic damage per stack.<br><font color=\"#5bc0de\">-Not affected by the positive status duration gain<br>- Does not react to damage less than 100 and pure damage</font><br>"
"DOTA_Tooltip_ability_Middle_reactive_armor_Lore"	"Advanced enchanted armors are equipped with adaptive functions. When attacked, the armor will record its characteristics. When encountered same attack in the future, it will not be able to play its original damage."
"DOTA_Tooltip_ability_Middle_reactive_armor_max_stack"	"Max Stacks:"
"DOTA_Tooltip_ability_Middle_reactive_armor_bonus_armor"	"Bonus Armor per Stack:"
"DOTA_Tooltip_ability_Middle_reactive_armor_bonus_health_regeneration"	"Bonus Health Regen per Stack:"
"DOTA_Tooltip_ability_Middle_reactive_armor_duration"	"Duration per Stack:"
"DOTA_Tooltip_ability_Advanced_reactive_armor"	"Advanced Reactive Armor"
"DOTA_Tooltip_ability_Advanced_reactive_armor_Description"	"Each time Timbersaw is under physical attack, he gains increased health regeneration and armor.<br><br> [Damage Adaptation] Every time you take physical damage and if you take another physical damage within 10 seconds, recover 0.5%% of the damage taken (stacking up to 30%%, duration calculated independently), and 2%% of magic damage per stack.<br><font color=\"#5bc0de\">- Does not react to damage less than 100 and pure damage</font><br><br>[Super Active] The maximum number of stacks is doubled, but the status added after exceeding the initial maximum stack number will only take effect for 5 seconds."
"DOTA_Tooltip_ability_Advanced_reactive_armor_Lore"	"What does not kill you makes your armor stronger. "
"DOTA_Tooltip_ability_Advanced_reactive_armor_max_stack"	"Max Stacks:"
"DOTA_Tooltip_ability_Advanced_reactive_armor_bonus_armor"	"Bonus Armor per Stack:"
"DOTA_Tooltip_ability_Advanced_reactive_armor_bonus_health_regeneration"	"Bonus Health Regen per Stack:"
"DOTA_Tooltip_ability_Advanced_reactive_armor_duration"	"Duration per Stack:"
"DOTA_Tooltip_ability_for_swap_spells"	"Switch"
"DOTA_Tooltip_ability_for_swap_spells_Description"	"This ability will be placed in the active slot to switch the ability position without consuming gold."
"DOTA_Tooltip_ability_Primary_shapeshift"	"Primary Shapeshift"
"DOTA_Tooltip_ability_Primary_shapeshift_Description"	"Assuming lupine form, granting him critical strikes and added vision at night. During Shapeshift, Lycan and all units under his control move at increased speed, cannot be slowed and have a chance to deal additional damage. (Considered as bonus damage, not a critical strike)"
"DOTA_Tooltip_ability_Primary_shapeshift_Lore"	"Transforming into wolves and bears is an essential skill for a qualified Druid. When they transform into animal form, their combat power is usually greatly improved. "
"DOTA_Tooltip_ability_Primary_shapeshift_Note0"	"Доп. инфа:<br>The attack range is changed to 200.<br><font color=\"#d9534f\">Will remove other transformations</font>"
"DOTA_Tooltip_ability_Primary_shapeshift_max_stack"	"Max Stacks:"
"DOTA_Tooltip_ability_Primary_shapeshift_bonus_armor"	"Bonus Armor per Stack:"
"DOTA_Tooltip_ability_Primary_shapeshift_bonus_health_regeneration"	"Bonus Health Regen per Stack:"
"DOTA_Tooltip_ability_Primary_shapeshift_duration"	"Duration:"
"DOTA_Tooltip_ability_Primary_shapeshift_bonus_move"	"Min Move Speed:"
"DOTA_Tooltip_ability_Primary_shapeshift_bonus_damage"	"%Bonus Damage:"
"DOTA_Tooltip_ability_Primary_shapeshift_bonus_damage_chance"	"%Bonus Damage Chance:"
"DOTA_Tooltip_ability_Middle_shapeshift"	"Middle Shapeshift"
"DOTA_Tooltip_ability_Middle_shapeshift_Description"	"Assuming lupine form, granting him critical strikes and added vision at night. During Shapeshift, Lycan and all units under his control move at increased speed, cannot be slowed and have a chance to deal additional damage. (Considered as bonus damage, not a critical strike)<br><br> [Wild Rage] Gain 10%% lifesteal attack ability and additional 10 attack speed for every 10% of maximum health damage lost, up to a maximum of 300. (Units under youyr control do not have this status)"
"DOTA_Tooltip_ability_Middle_shapeshift_Lore"	"Although humans do not possess the power of the wild, Druid's Shapeshift grants this trait to himself, allowing him to survive brutal battles."
"DOTA_Tooltip_ability_Middle_shapeshift_Note0"	"Доп. инфа:<br>The attack range is changed to 200.<br><font color=\"#d9534f\">Will remove other transformations</font>"
"DOTA_Tooltip_ability_Middle_shapeshift_bonus_move"	"Min Move Speed:"
"DOTA_Tooltip_ability_Middle_shapeshift_bonus_damage"	"%Bonus Damage:"
"DOTA_Tooltip_ability_Middle_shapeshift_bonus_damage_chance"	"%Bonus Damage Chance:"
